idEvent,idHospUnit
438,371
439,359
440,357
441,359
442,355
443,359
444,355
445,359
446,357
447,359
450,363
453,361
454,374
455,355
456,374
457,357
458,374
461,373
462,368
465,371
468,351
469,357
470,361
473,351
476,374
479,372
482,365
485,373
486,369
489,351
492,374
495,371
496,360
499,353
502,372
505,365
508,366
509,373
512,359
515,359
518,368
521,364
522,369
525,374
528,369
529,371
532,351
535,367
536,371
539,353
542,372
545,351
548,361
549,359
552,373
553,372
556,364
557,368
560,366
563,374
564,360
567,365
568,366
571,369
574,368
575,373
578,361
579,372
582,374
585,373
588,367
589,369
592,351
595,367
598,367
601,361
604,363
605,370
606,355
607,370
610,367
613,362
616,370
619,362
622,373
625,369
628,365
629,355
630,365
633,359
634,371
635,357
636,371
637,355
638,371
641,360
644,371
647,367
650,365
651,369
654,363
655,370
656,355
657,370
658,357
659,370
662,368
663,359
666,362
669,366
670,373
671,353
674,364
677,369
678,364
681,366
682,371
685,367
688,360
689,373
692,366
693,371
696,360
697,357
698,360
701,373
704,365
707,365
708,373
711,365
712,374
715,367
718,371
721,373
724,371
725,359
726,355
727,359
730,369
731,359
734,353
735,366
738,363
739,374
740,355
741,374
744,369
747,363
748,371
751,351
752,355
753,371
756,361
757,374
758,355
759,374
762,366
763,373
764,353
765,364
768,360
769,355
770,360
771,374
774,365
775,373
776,357
777,373
780,366
783,364
784,359
787,361
790,351
791,355
792,368
793,363
796,360
797,357
798,360
799,374
802,370
803,369
804,373
805,355
806,373
807,357
808,373
811,351
812,355
813,364
814,360
817,363
820,367
821,371
822,355
823,371
826,366
827,357
828,366
829,374
832,364
833,355
834,364
835,367
838,353
839,355
840,353
843,353
844,368
845,371
848,359
849,369
852,367
853,360
854,355
855,360
858,351
859,355
860,372
861,373
864,361
865,362
866,372
869,372
870,374
873,353
874,371
875,359
878,369
879,368
882,373
883,360
884,355
885,360
888,369
889,363
892,365
893,374
894,355
895,374
898,365
899,370
902,351
903,355
904,365
905,363
906,357
907,363
908,355
909,363
912,370
913,367
914,357
915,367
918,373
919,373
920,367
923,362
924,370
925,355
926,370
929,362
930,355
931,362
932,359
933,355
934,359
937,372
938,355
939,372
940,359
943,374
944,355
945,374
946,363
947,355
948,363
951,374
952,369
953,357
954,369
955,353
958,362
959,359
960,355
961,359
964,364
965,359
966,357
967,359
970,362
971,370
972,355
973,370
976,360
979,351
980,357
981,368
982,364
985,373
986,359
987,355
988,359
991,366
992,372
993,355
994,372
997,351
998,355
999,363
1002,363
1003,360
1006,359
1007,369
1010,371
1011,374
1014,359
1015,373
1016,355
1017,373
1020,369
1021,372
1022,355
1023,372
1024,357
1025,372
1028,372
1029,359
1032,372
1033,355
1034,372
1035,360
1036,355
1037,360
1038,357
1039,360
1042,374
1043,370
1046,361
1047,370
1048,355
1049,370
1052,359
1053,369
1054,357
1055,369
1058,370
1059,368
1060,355
1061,368
1064,351
1065,355
1066,368
1067,372
1070,360
1071,362
1072,357
1073,362
1076,364
1077,369
1078,355
1079,369
1082,362
1083,373
1084,357
1085,373
1088,361
1089,373
1090,355
1091,373
1092,357
1093,373
1096,365
1097,372
1100,371
1101,359
1102,353
1105,353
1106,357
1107,353
1108,364
1111,362
1112,360
1113,355
1114,360
1117,351
1118,355
1119,368
1120,360
1121,357
1122,360
1125,368
1126,372
1127,355
1128,372
1131,366
1132,364
1133,355
1134,364
1137,372
1138,370
1139,355
1140,370
1143,368
1144,374
1145,357
1146,374
1147,355
1148,374
1151,351
1152,362
1153,373
1156,351
1157,374
1158,359
1161,351
1162,367
1163,360
1166,351
1167,367
1168,360
1169,353
1172,351
1173,361
1174,369
1175,369
1176,357
1177,369
1178,355
1179,369
1182,360
1183,373
1186,360
1187,369
1188,355
1189,369
1192,371
1193,371
1196,365
1199,359
1200,359
1201,355
1202,359
1205,364
1206,355
1207,364
1210,373
1211,369
1212,353
1213,364
1216,367
1217,353
1218,367
1219,353
1222,374
1225,363
1226,353
1227,368
1230,366
1231,360
1232,359
1235,360
1236,360
1239,360
1240,360
1241,355
1242,360
1245,370
1246,355
1247,370
1250,370
1251,355
1252,370
1255,372
1256,372
1259,363
1260,353
1263,367
1264,369
1267,359
1268,359
1271,363
1272,373
1273,373
1276,359
1277,371
1280,365
1281,371
1284,359
1287,351
1288,362
1289,371
1292,351
1293,366
1294,369
1295,355
1296,369
1297,357
1298,369
1299,369
1302,351
1303,363
1304,370
1305,353
1306,360
1307,357
1308,360
1309,355
1310,360
1311,359
1314,351
1315,353
1316,362
1317,370
1318,355
1319,370
1320,357
1321,370
1322,353
1325,372
1328,351
1329,363
1330,374
1333,351
1334,365
1335,361
1336,355
1337,361
1338,357
1339,361
1340,355
1341,361
1342,361
1345,371
1346,355
1347,371
1350,363
1351,373
1354,373
1355,355
1356,373
1359,373
1362,364
1363,355
1364,364
1367,360
1368,355
1369,360
1372,360
1373,355
1374,360
1377,351
1378,365
1379,372
1382,367
1383,360
1386,364
1387,369
1388,355
1389,369
1392,351
1393,364
1394,359
1397,369
1398,355
1399,369
1402,351
1403,359
1404,366
1405,365
1406,357
1407,365
1408,355
1409,365
1410,355
1411,365
1412,357
1413,365
1414,355
1415,365
1418,351
1419,372
1420,359
1423,370
1424,370
1427,351
1428,362
1429,360
1432,359
1435,351
1436,353
1437,365
1438,369
1441,374
1442,355
1443,374
1446,351
1447,367
1448,370
1451,351
1452,353
1455,364
1456,370
1459,360
1462,351
1463,361
1464,370
1467,351
1468,361
1471,369
1472,369
1475,351
1476,364
1477,374
1478,353
1481,365
1482,363
1485,351
1486,355
1487,364
1488,373
1489,355
1490,373
1491,357
1492,373
1493,355
1494,373
1495,374
1496,357
1497,374
1500,351
1501,355
1502,361
1503,370
1506,370
1507,355
1508,370
1511,374
1514,351
1515,365
1516,369
1519,351
1520,372
1521,363
1524,368
1525,370
1528,372
1529,372
1530,355
1531,372
1532,357
1533,372
1534,355
1535,372
1538,365
1539,369
1542,366
1543,371
1544,355
1545,371
1548,374
1551,367
1552,370
1553,353
1554,367
1555,357
1556,367
1559,366
1560,374
1563,372
1564,374
1565,355
1566,374
1567,357
1568,374
1569,355
1570,374
1571,373
1574,367
1577,374
1580,361
1581,373
1584,363
1585,373
1586,355
1587,373
1590,361
1591,372
1592,355
1593,372
1594,357
1595,372
1598,371
1599,360
1600,355
1601,360
1604,351
1605,366
1608,351
1609,355
1610,364
1611,360
1614,359
1615,353
1618,351
1619,370
1622,351
1623,365
1624,374
1625,355
1626,374
1627,357
1628,374
1631,351
1632,367
1633,365
1636,361
1637,359
1638,355
1639,359
1642,371
1643,355
1644,371
1645,355
1646,371
1647,357
1648,371
1651,361
1652,359
1653,355
1654,359
1655,355
1656,359
1659,360
1660,353
1661,365
1664,362
1665,367
1666,355
1667,367
1670,351
1671,367
1672,370
1675,371
1678,365
1679,371
1680,355
1681,371
1684,351
1685,368
1686,369
1687,355
1688,369
1689,357
1690,369
1691,355
1692,369
1695,351
1696,361
1699,371
1700,372
1703,372
1704,371
1705,353
1708,368
1709,353
1712,368
1713,372
1716,371
1717,355
1718,371
1721,364
1722,359
1723,359
1726,365
1727,370
1730,363
1731,369
1734,360
1735,355
1736,360
1739,372
1742,371
1745,372
1748,359
1749,355
1750,359
1753,371
1754,359
1755,360
1756,355
1757,360
1760,351
1761,366
1762,369
1765,351
1766,363
1767,373
1770,351
1771,368
1774,351
1775,361
1776,374
1779,351
1780,368
1781,365
1782,365
1783,357
1784,365
1787,366
1788,372
1789,355
1790,372
1793,374
1794,355
1795,374
1796,355
1797,374
1798,357
1799,374
1802,372
1803,359
1804,355
1805,359
1808,365
1809,369
1812,362
1813,373
1816,373
1819,362
1820,360
1823,362
1824,360
1825,360
1826,357
1827,360
1830,362
1831,370
1834,366
1835,371
1838,372
1839,355
1840,372
1843,373
1844,355
1845,373
1848,368
1849,369
1852,373
1853,355
1854,373
1857,366
1858,371
1859,353
1860,361
1861,357
1862,361
1865,373
1868,366
1869,353
1872,366
1873,374
1874,355
1875,374
1878,363
1879,364
1880,355
1881,364
1882,357
1883,364
1886,359
1887,355
1888,359
1891,372
1894,351
1895,368
1898,351
1899,361
1900,373
1903,351
1904,362
1905,370
1908,351
1911,351
1912,368
1913,359
1916,360
1917,355
1918,360
1921,368
1922,371
1925,363
1928,361
1929,360
1930,355
1931,360
1934,366
1935,371
1936,355
1937,371
1940,361
1941,369
1942,355
1943,369
1946,359
1947,353
1948,363
1951,374
1954,364
1955,373
1956,373
1959,365
1960,371
1961,355
1962,371
1965,362
1968,374
1971,372
1974,359
1975,355
1976,359
1977,360
1980,367
1981,372
1982,355
1983,372
1986,359
1987,353
1990,366
1991,372
1994,368
1995,355
1996,368
